date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20220121,MEM,122,DEN,118,0
20220121,DET,101,UTA,111,0
20220121,HOU,103,GSW,105,0
20220122,SAC,127,MIL,133,0
20220122,OKC,87,CLE,94,0
20220122,IND,103,PHO,113,0
20220123,LAC,102,NYK,110,0
20220123,BOS,116,WAS,87,0
20220123,LAL,107,MIA,113,0
20220123,CHI,95,ORL,114,0
20220123,POR,114,TOR,105,0
20220123,ATL,113,CHO,91,0
20220123,PHI,115,SAS,109,0
20220123,MEM,91,DAL,104,0
20220123,DET,111,DEN,117,0
20220123,BRK,125,MIN,136,0
20220123,UTA,92,GSW,94,0
20220124,NYK,93,CLE,95,0
20220124,IND,113,NOP,117,0
20220124,CHI,111,OKC,110,0
20220124,UTA,109,PHO,115,0
20220125,DEN,110,DET,105,0
20220125,NOP,107,PHI,117,0
20220125,CHO,113,TOR,125,0
20220125,LAC,116,WAS,115,0
20220125,SAC,75,BOS,128,0
20220125,LAL,106,BRK,96,0
20220125,SAS,134,HOU,104,0
20220125,DAL,92,GSW,130,0
20220125,MIN,109,POR,107,0
20220126,MIL,99,CLE,115,0
20220126,CHO,158,IND,126,0
20220126,LAC,111,ORL,102,0
20220126,SAC,104,ATL,121,0
20220126,NYK,96,MIA,110,0
20220126,DEN,124,BRK,118,0
20220126,TOR,105,CHI,111,0
20220126,MEM,118,SAS,110,0
20220126,DAL,132,POR,112,0
20220126,PHO,105,UTA,97,0
20220127,LAL,87,PHI,105,0
20220127,MIN,115,GSW,124,0
20220128,DET,103,ORL,119,0
20220128,BOS,92,ATL,108,0
20220128,LAL,114,CHO,117,0
20220128,POR,125,HOU,110,0
20220128,UTA,109,MEM,119,0
20220128,LAC,114,MIA,121,0
20220128,DEN,116,NOP,105,0
20220128,IND,113,OKC,110,0
20220128,CHI,122,SAS,131,0
20220128,MIN,124,PHO,134,0
20220128,NYK,108,MIL,123,0
20220129,IND,105,DAL,132,0
20220129,BOS,107,NOP,97,0
20220129,SAC,101,PHI,103,0
20220129,WAS,95,MEM,115,0
20220129,TOR,124,MIA,120,0
20220129,BRK,106,GSW,110,0
20220130,LAL,121,ATL,129,0
20220130,LAC,115,CHO,90,0
20220130,POR,116,CHI,130,0
20220130,CLE,105,DET,115,0
20220130,DEN,136,MIL,100,0
